Command, a1p1, A3_a1_p1, CS4500A1P1, CS4500_Assn1_Part1, sorer, swd_assignment_3
-from 0 -len 10000 -print_col_type 10, 0.041, 0.035, 0.003, 0.077, 0.002, 0.002
-from 100000000 -len 10000 -print_col_type 15, 0.038, 0.035, 0.003, 0.001, 0.002, 0.002
-from 0 -len 200000000 -print_col_type 9, 0.063, 12.578, 0.003, 16.173, 0.748, 5.051
-from 0 -len 10000 -print_col_idx 0 0, 0.044, 0.034, 0.003, 0.073, 0.003, 0.002
-from 0 -len 200000000 -print_col_idx 0 0, 60.264, 12.661, 4.321, 16.150, 0.734, 5.113
-from 0 -len 200000000 -print_col_idx 10 5000, 60.601, 12.580, 4.338, 16.192, 0.744, 5.033
-from 0 -len 200000000 -print_col_idx 10 10000, 60.332, 12.620, 4.321, 16.031, 0.718, 5.082
-from 0 -len 200000000 -print_col_idx 16 100000, 60.273, 12.710, 4.330, 16.120, 0.763, 5.048
-from 0 -len 200000000 -print_col_idx 16 500000, 59.983, 12.766, 4.349, 16.152, 0.779, 5.034
-from 0 -len 200000000 -print_col_idx 16 700000, 60.613, 12.635, 4.297, 16.182, 0.754, 5.070
-from 0 -len 200000000 -print_col_idx 16 999999, 60.310, 12.636, 4.297, 16.080, 0.760, 5.053
-from 100000000 -len 10000 -print_col_idx 7 10, 0.043, 0.034, 0.003, ./benchmark.sh: line 42: 57476 Segmentation fault (core dumped) ./${proj}/sorer -f ${TESTFILE} ${cmd} 0.229, 0.003, 0.002
-from 0 -len 10000 -is_missing_idx 14 15, 0.044, 0.034, 0.003, 0.077, 0.003, 0.002
-from 0 -len 200000000 -is_missing_idx 14 15, 60.778, 12.735, 4.319, 16.201, 0.762, 5.049
-from 0 -len 200000000 -is_missing_idx 4 250000, 60.179, 12.634, 4.325, 16.005, 0.728, 5.022
-from 0 -len 200000000 -is_missing_idx 4 750020, 60.184, 12.591, 4.357, 16.029, 0.750, 5.053
-from 0 -len 200000000 -is_missing_idx 19 999999, 60.509, 12.620, 4.391, 16.199, 0.761, 5.050
-from 500000 -len 50000 -is_missing_idx 9 100, 0.068, 0.036, 0.004, ./benchmark.sh: line 42: 58852 Segmentation fault (core dumped) ./${proj}/sorer -f ${TESTFILE} ${cmd} 0.236, 0.003, 0.005
