Command, a1p1, A3_a1_p1, CS4500A1P1, CS4500_Assn1_Part1, sorer, swd_assignment_3
-from 0 -len 10000 -print_col_type 10, 0.040, 0.035, 0.003, 0.073, 0.003, 0.002
-from 100000000 -len 10000 -print_col_type 15, 0.039, 0.035, 0.003, 0.001, 0.002, 0.002
-from 0 -len 200000000 -print_col_type 9, 0.064, 12.635, 0.003, 16.281, 0.747, 5.064
-from 0 -len 10000 -print_col_idx 0 0, 0.044, 0.035, 0.003, 0.073, 0.003, 0.002
-from 0 -len 200000000 -print_col_idx 0 0, 60.824, 12.717, 4.334, 16.395, 0.727, 5.065
-from 0 -len 200000000 -print_col_idx 10 5000, 60.384, 12.566, 4.326, 16.121, 0.779, 5.036
-from 0 -len 200000000 -print_col_idx 10 10000, 60.041, 12.620, 4.328, 15.938, 0.756, 5.056
-from 0 -len 200000000 -print_col_idx 16 100000, 60.435, 12.597, 4.344, 16.179, 0.754, 5.026
-from 0 -len 200000000 -print_col_idx 16 500000, 60.715, 12.560, 4.320, 16.190, 0.764, 5.108
-from 0 -len 200000000 -print_col_idx 16 700000, 60.492, 12.611, 4.310, 16.369, 0.736, 5.091
-from 0 -len 200000000 -print_col_idx 16 999999, 60.585, 12.617, 4.314, 16.097, 0.751, 5.060
-from 100000000 -len 10000 -print_col_idx 7 10, 0.044, 0.035, 0.003, ./benchmark.sh: line 42: 61459 Segmentation fault (core dumped) ./${proj}/sorer -f ${TESTFILE} ${cmd} 0.238, 0.003, 0.002
-from 0 -len 10000 -is_missing_idx 14 15, 0.044, 0.034, 0.003, 0.073, 0.002, 0.002
-from 0 -len 200000000 -is_missing_idx 14 15, 60.813, 12.605, 4.308, 16.116, 0.739, 5.082
-from 0 -len 200000000 -is_missing_idx 4 250000, 60.362, 12.632, 4.296, 16.000, 0.743, 5.102
-from 0 -len 200000000 -is_missing_idx 4 750020, 60.395, 12.617, 4.315, 16.430, 0.748, 5.112
-from 0 -len 200000000 -is_missing_idx 19 999999, 60.441, 12.722, 4.317, 16.119, 0.739, 5.046
-from 500000 -len 50000 -is_missing_idx 9 100, 0.068, 0.036, 0.004, ./benchmark.sh: line 42: 62876 Segmentation fault (core dumped) ./${proj}/sorer -f ${TESTFILE} ${cmd} 0.234, 0.003, 0.005
