Command, a1p1, A3_a1_p1, CS4500A1P1, CS4500_Assn1_Part1, sorer, swd_assignment_3
-from 0 -len 10000 -print_col_type 10, 0.041, 0.034, 0.003, 0.073, 0.003, 0.002
-from 100000000 -len 10000 -print_col_type 15, 0.038, 0.034, 0.003, 0.001, 0.002, 0.002
-from 0 -len 200000000 -print_col_type 9, 0.063, 12.896, 0.003, 16.115, 0.760, 5.093
-from 0 -len 10000 -print_col_idx 0 0, 0.044, 0.035, 0.003, 0.074, 0.003, 0.002
-from 0 -len 200000000 -print_col_idx 0 0, 60.174, 12.734, 4.330, 16.061, 0.747, 5.139
-from 0 -len 200000000 -print_col_idx 10 5000, 60.601, 12.631, 4.315, 16.129, 0.740, 5.051
-from 0 -len 200000000 -print_col_idx 10 10000, 60.111, 12.627, 4.319, 16.026, 0.738, 5.130
-from 0 -len 200000000 -print_col_idx 16 100000, 60.066, 12.632, 4.579, 16.076, 0.759, 5.083
-from 0 -len 200000000 -print_col_idx 16 500000, 59.984, 12.649, 4.312, 16.024, 0.765, 5.050
-from 0 -len 200000000 -print_col_idx 16 700000, 60.473, 12.660, 4.325, 16.459, 0.763, 5.069
-from 0 -len 200000000 -print_col_idx 16 999999, 60.886, 12.597, 4.310, 16.149, 0.758, 5.062
-from 100000000 -len 10000 -print_col_idx 7 10, 0.044, 0.035, 0.003, ./benchmark.sh: line 42: 53425 Segmentation fault (core dumped) ./${proj}/sorer -f ${TESTFILE} ${cmd} 0.233, 0.002, 0.002
-from 0 -len 10000 -is_missing_idx 14 15, 0.045, 0.035, 0.003, 0.073, 0.003, 0.002
-from 0 -len 200000000 -is_missing_idx 14 15, 60.607, 12.623, 4.320, 16.214, 0.729, 5.066
-from 0 -len 200000000 -is_missing_idx 4 250000, 60.278, 12.751, 4.304, 16.056, 0.777, 5.074
-from 0 -len 200000000 -is_missing_idx 4 750020, 59.881, 12.772, 4.351, 16.170, 0.744, 5.060
-from 0 -len 200000000 -is_missing_idx 19 999999, 61.178, 12.642, 4.360, 15.954, 0.733, 5.075
-from 500000 -len 50000 -is_missing_idx 9 100, 0.068, 0.036, 0.004, ./benchmark.sh: line 42: 54843 Segmentation fault (core dumped) ./${proj}/sorer -f ${TESTFILE} ${cmd} 0.232, 0.003, 0.004
