Command, a1p1, A3_a1_p1, CS4500A1P1, CS4500_Assn1_Part1, sorer, swd_assignment_3
-from 0 -len 10000 -print_col_type 10, 0.045, 0.037, 0.003, 0.073, 0.003, 0.002
-from 100000000 -len 10000 -print_col_type 15, 0.039, 0.035, 0.003, 0.001, 0.002, 0.002
-from 0 -len 200000000 -print_col_type 9, 0.063, 12.621, 0.003, 16.135, 0.751, 5.091
-from 0 -len 10000 -print_col_idx 0 0, 0.043, 0.035, 0.003, 0.073, 0.002, 0.002
-from 0 -len 200000000 -print_col_idx 0 0, 60.522, 12.605, 4.320, 16.173, 0.768, 5.085
-from 0 -len 200000000 -print_col_idx 10 5000, 60.291, 12.577, 4.364, 16.246, 0.746, 5.073
-from 0 -len 200000000 -print_col_idx 10 10000, 61.308, 12.617, 4.343, 16.099, 0.731, 5.103
-from 0 -len 200000000 -print_col_idx 16 100000, 60.657, 12.796, 4.339, 15.908, 0.751, 5.081
-from 0 -len 200000000 -print_col_idx 16 500000, 60.283, 12.577, 4.308, 16.072, 0.738, 5.066
-from 0 -len 200000000 -print_col_idx 16 700000, 60.426, 12.685, 4.603, 16.182, 0.755, 5.078
-from 0 -len 200000000 -print_col_idx 16 999999, 60.856, 12.569, 4.332, 16.137, 0.727, 5.089
-from 100000000 -len 10000 -print_col_idx 7 10, 0.044, 0.035, 0.003, ./benchmark.sh: line 42: 32341 Segmentation fault (core dumped) ./${proj}/sorer -f ${TESTFILE} ${cmd} 0.237, 0.003, 0.002
-from 0 -len 10000 -is_missing_idx 14 15, 0.044, 0.035, 0.003, 0.074, 0.003, 0.002
-from 0 -len 200000000 -is_missing_idx 14 15, 60.748, 12.589, 4.317, 16.125, 0.750, 5.040
-from 0 -len 200000000 -is_missing_idx 4 250000, 60.591, 13.097, 4.429, 16.301, 0.769, 5.079
-from 0 -len 200000000 -is_missing_idx 4 750020, 60.158, 12.673, 4.347, 16.055, 0.790, 5.123
-from 0 -len 200000000 -is_missing_idx 19 999999, 60.238, 12.644, 4.309, 16.409, 0.778, 5.123
-from 500000 -len 50000 -is_missing_idx 9 100, 0.068, 0.037, 0.004, ./benchmark.sh: line 42: 33779 Segmentation fault (core dumped) ./${proj}/sorer -f ${TESTFILE} ${cmd} 0.229, 0.003, 0.005
