Command, a1p1, A3_a1_p1, CS4500A1P1, CS4500_Assn1_Part1, sorer, swd_assignment_3
-from 0 -len 10000 -print_col_type 10, 0.040, 0.035, 0.003, 0.073, 0.003, 0.002
-from 100000000 -len 10000 -print_col_type 15, 0.040, 0.034, 0.003, 0.001, 0.002, 0.002
-from 0 -len 200000000 -print_col_type 9, 0.063, 12.693, 0.003, 15.948, 0.742, 5.106
-from 0 -len 10000 -print_col_idx 0 0, 0.043, 0.035, 0.003, 0.072, 0.002, 0.002
-from 0 -len 200000000 -print_col_idx 0 0, 60.629, 12.636, 4.513, 16.018, 0.736, 5.118
-from 0 -len 200000000 -print_col_idx 10 5000, 60.523, 12.584, 4.310, 16.083, 0.727, 5.111
-from 0 -len 200000000 -print_col_idx 10 10000, 59.805, 12.610, 4.347, 16.002, 0.729, 5.093
-from 0 -len 200000000 -print_col_idx 16 100000, 59.971, 12.606, 4.314, 16.181, 0.737, 5.046
-from 0 -len 200000000 -print_col_idx 16 500000, 60.405, 12.632, 4.317, 16.026, 0.734, 5.112
-from 0 -len 200000000 -print_col_idx 16 700000, 60.710, 12.597, 4.351, 16.283, 0.749, 5.038
-from 0 -len 200000000 -print_col_idx 16 999999, 59.615, 12.609, 4.371, 16.098, 0.748, 5.054
-from 100000000 -len 10000 -print_col_idx 7 10, 0.044, 0.035, 0.003, ./benchmark.sh: line 42: 65536 Segmentation fault (core dumped) ./${proj}/sorer -f ${TESTFILE} ${cmd} 0.230, 0.002, 0.002
-from 0 -len 10000 -is_missing_idx 14 15, 0.045, 0.035, 0.003, 0.074, 0.003, 0.002
-from 0 -len 200000000 -is_missing_idx 14 15, 60.809, 12.764, 4.325, 16.131, 0.763, 5.080
-from 0 -len 200000000 -is_missing_idx 4 250000, 60.107, 12.598, 4.312, 16.075, 0.736, 5.124
-from 0 -len 200000000 -is_missing_idx 4 750020, 60.817, 12.521, 4.334, 16.141, 0.743, 5.064
-from 0 -len 200000000 -is_missing_idx 19 999999, 59.999, 12.704, 4.333, 16.376, 0.723, 5.058
-from 500000 -len 50000 -is_missing_idx 9 100, 0.068, 0.036, 0.004, ./benchmark.sh: line 42: 66926 Segmentation fault (core dumped) ./${proj}/sorer -f ${TESTFILE} ${cmd} 0.231, 0.003, 0.004
